"Idempresa";"Idalimentador";"Nombre";"Idelemento";"Idbarramt";"Subestacion";"Tipoalimentador";"Canttrafos";"Kva";"Potenciaequivalente";"Kmmt";"Densidad";"Cantusubt";"Cantusumt"
"E";"CINCO SALTOS 1";"CINCO SALTOS 1";"S1E210";"1";"CS";"U";"67";"7586";"0";"36.74";"206.48";"3530";"1"
"E";"CINCO SALTOS 2";"CINCO SALTOS 2";"S1E211";"1";"CIN";"U";"24";"6565";"91";"9.96";"668.27";"2804";"1"
"E";"EL CUY";"EL CUY";"SCU001";"1";"ROCA";"U";"3";"478";"0";"0.40";"1195.00";"656";"0"
"E";"EXPOFRUT (BOMBAS)";"EXPOFRUT (BOMBAS)";"S3G614";"1";"CH";"R";"9";"816";"3";"13.61";"60.18";"6";"1"
"E";"EXPOFRUT (EMPAQUE)";"EXPOFRUT (EMPAQUE)";"S3G611";"";"";"R";"0";"0";"2";"0.85";"2.35";"0";"1"
"E";"EXPOFRUT (FRIG LAMARQU";"EXPOFRUT (FRIG LAMARQU";"S3G539";"1";"BMT CHOELE CHOEL";"R";"42";"4447";"0";"52.80";"84.22";"2919";"2"
"E";"FERNANDEZ ORO";"FERNANDEZ ORO";"S2B709";"1";"ALL";"U";"68";"7079";"1073";"44.98";"181.24";"1415";"5"
"E";"FERNANDEZ ORO - C";"FERNANDEZ ORO - C";"S1A911";"1";"CIPO";"U";"21";"10485";"0";"6.09";"1721.67";"4431";"0"
"E";"FLOR DEL VALLE";"FLOR DEL VALLE";"S2C204";"1";"ROCA";"U";"35";"8146";"170";"16.16";"514.60";"5319";"2"
"E";"GUERRICO";"GUERRICO";"S2B199";"1";"ALL";"U";"113";"12355";"4";"55.02";"224.63";"1048";"2"
"E";"GUERRICO - GR";"GUERRICO - GR";"S2C158";"1";"ROC";"U";"96";"14334";"396";"52.32";"281.54";"5183";"5"
"E";"GUERRICO_2";"GUERRICO_2";"S2B704";"1";"ALLEN";"R";"97";"4717";"129";"63.83";"75.92";"343";"3"
"E";"IDEVI";"IDEVI";"S4V160";"1";"VIE";"R";"149";"5918";"0";"105.08";"56.32";"3154";"1"
"E";"L2CO";"L2CO";"S4I071";"1";"ET SAN ANTONIO ESTE";"R";"263";"7278";"0";"227.84";"31.94";"3295";"8"
"E";"L2LG";"L2LG";"S5H118";"1";"SA";"R";"1";"63";"0";"35.80";"1.76";"2";"1"
"E";"L2PU";"L2PU";"S5H120";"1";"SAO";"R";"27";"2762";"235";"60.63";"49.43";"343";"3"
"E";"L2SO";"L2SO";"S5H117";"1";"SAO";"U";"86";"15195";"0";"49.60";"306.35";"7542";"3"
"E";"L2VA";"L2VA";"S5H119";"1";"SAO";"R";"41";"612";"0";"440.27";"1.39";"143";"2"
"E";"LAMARQUE - POMONA";"LAMARQUE - POMONA";"S3G527";"1";"CH";"R";"264";"14905";"246";"121.16";"125.05";"4123";"7"
"E";"LAS PERLAS";"LAS PERLAS";"S1R014";"1";"CIPO";"U";"34";"4839";"0";"14.74";"328.29";"1299";"0"
"E";"LG001";"LG001";"S5H107";"1";"SAO";"U";"43";"10944";"0";"17.41";"628.60";"3022";"0"
"E";"LG002";"LG002";"S5H108";"1";"SAO";"U";"14";"5648";"71";"7.77";"736.04";"1765";"1"
"E";"LG003";"LG003";"S5H153";"1";"SAO";"U";"15";"2444";"0";"6.40";"381.88";"1293";"0"
"E";"LINEA SUR";"LINEA SUR";"S6F401";"1";"JAC";"R";"207";"11586";"0";"610.35";"18.98";"7685";"4"
"E";"LUIS BELTRAN";"LUIS BELTRAN";"S3G516";"1";"CH";"R";"123";"11662";"57";"99.60";"117.66";"2880";"3"
"E";"MAITEN";"MAITEN";"S1A609";"1";"CIPO";"U";"28";"11935";"125";"9.84";"1225.61";"5636";"1"
"E";"MALLIN";"MALLIN";"S6J030";"1";"ET EL BOLSON";"R";"217";"4650";"12";"431.10";"10.81";"1506";"1"
"E";"MANZANO";"MANZANO";"S1E202";"1";"ET CAMPO GRANDE";"U";"44";"3934";"25";"23.98";"165.10";"1599";"7"
"E";"MARIANO MORENO";"MARIANO MORENO";"S1A950";"1";"ET4CIPOLLETTI";"U";"9";"911";"1368";"2.71";"840.96";"291";"3"
"E";"MENCUÉ";"MENCUÉ";"S6O603";"1";"IJ";"R";"18";"218";"0";"58.66";"3.72";"185";"2"
"E";"MITRE";"MITRE";"S2C218";"1";"ROCA";"U";"37";"10669";"722";"13.84";"823.05";"4889";"3"
"E";"MOÑO AZUL";"MOÑO AZUL";"S3G600";"1";"CH";"R";"48";"3715";"226";"62.17";"63.39";"126";"4"
"E";"NORTE";"NORTE";"S6J131";"1";"EB";"R";"266";"7356";"110";"353.50";"21.12";"3459";"1"
"E";"NORTE - GR";"NORTE - GR";"S2C101";"1";"ROCA";"U";"25";"5324";"294";"13.67";"410.97";"3259";"2"
"E";"ÑIRIHUAU";"ÑIRIHUAU";"S6F309";"1";"IJ";"R";"29";"201";"0";"19.60";"10.26";"38";"1"
"E";"OLDELVAL_GR";"OLDELVAL_GR";"S2C380";"1";"ET ROCA";"R";"15";"2126";"432";"25.59";"99.96";"1432";"1"
"E";"PARMALAT";"PARMALAT";"S3G552";"1";"CH";"R";"33";"2886";"51";"93.92";"31.27";"516";"2"
"E";"PARQUE INDUSTRIAL";"PARQUE INDUSTRIAL";"S2B599";"1";"ALLEN";"U";"1";"160";"1484";"3.18";"516.98";"75";"1"
"E";"PARQUE INDUSTRIAL 1";"PARQUE INDUSTRIAL 1";"S2C145";"1";"ROCA";"R";"80";"6958";"1358";"57.50";"144.63";"2074";"7"
